;;;;
;OCORRENCIA;;;
OPERAÇÃO;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;;;;
OBRA;Sujeira de roçada;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRA;;;;
SINALIZAÇÃO;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Sujeira de roçada;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
OBRA;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRA;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Mau funcionamento;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Insuficiente;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Ausente;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Insuficiente;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Mau funcionamento;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Insuficiente;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Insuficiente;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Ausente;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Ausente;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Mau funcionamento;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Elementos danificados;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Amassada;;;
SINALIZAÇÃO;Desalinhada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Acúmulo de vegetação;;;
DRENAGEM OAC;Amassada;;;
SINALIZAÇÃO;Buraco;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Ausente;;;
SINALIZAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Árvores e/ou arbustos afetando a visibilidade;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Ausente;;;
SINALIZAÇÃO;Desalinhada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Acúmulo de vegetação;;;
DRENAGEM OAC;Capina deficiente;;;
DRENAGEM OAC;Junta de dilatação deficiente;;;
OBRAS DE ARTE ESPECIAIS;;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OBRA;Buraco;;;
OBRAS DE ARTE ESPECIAIS;Defensa sem ancoragem;;;
OBRAS DE ARTE ESPECIAIS;Defensa danificada;;;
OBRAS DE ARTE ESPECIAIS;Defensa sem ancoragem;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRA;Defensa danificada;;;
OBRAS DE ARTE ESPECIAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRA;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OPERAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Amassada;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Defensa danificada;;;
OBRAS DE ARTE ESPECIAIS;Capina deficiente;;;
OBRAS DE ARTE ESPECIAIS;Defensa danificada;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRA;Defensa danificada;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRA;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;;;;
OBRAS DE ARTE ESPECIAIS;Operando;;;
OPERAÇÃO;Encoberto pela vegetação;;;
SINALIZAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Amassada;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Panela / Buraco;;;
PAVIMENTAÇÃO;Paredes e forros;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Pintura insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Panela / Buraco;;;
PAVIMENTAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Varrição deficiente;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Amassada;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Fixação deficiente;;;
SINALIZAÇÃO;Junta de dilatação deficiente;;;
OBRAS DE ARTE ESPECIAIS;Ausente;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Desnível na cabeceira;;;
OBRAS DE ARTE ESPECIAIS;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Pintura insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Desalinhada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Junta de dilatação deficiente;;;
OBRAS DE ARTE ESPECIAIS;;;;
OPERAÇÃO;Fixação deficiente;;;
SINALIZAÇÃO;Sujo;;;
DRENAGEM OAC;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Atendimento insuficiente;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Afundamento local;;;
PAVIMENTAÇÃO;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Afundamento local;;;
PAVIMENTAÇÃO;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Desgaste;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Ausente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
OPERAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Desgaste;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
SINALIZAÇÃO;Fixação deficiente;;;
SINALIZAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
SINALIZAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
SINALIZAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Visibilidade ruim;;;
OPERAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Ausente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OPERAÇÃO;Ausente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Ancoragem deficiente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Amassada;;;
SINALIZAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Desgaste;;;
PAVIMENTAÇÃO;Cobertura vegetal deficiente;;;
TERRAPLENOS E CONTENÇÕES;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Ancoragem deficiente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Drenagem deficiente;;;
TERRAPLENOS E CONTENÇÕES;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Afundamento local;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OPERAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Ausente;;;
SINALIZAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Amassada;;;
SINALIZAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Errada;;;
SINALIZAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Errada;;;
SINALIZAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Equipamento inoperante;;;
OPERAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OPERAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Amassada;;;
SINALIZAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Material resultante de poda abandonado;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;Encoberto pela vegetação;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Capina deficiente;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Acúmulo de vegetação;;;
DRENAGEM OAC;Ausente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Operando;;;
OPERAÇÃO;Equipamento inoperante;;;
OPERAÇÃO;;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Operando;;;
OPERAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Operando;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Fundação e estrutura;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Fundação e estrutura;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Fundação e estrutura;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Fundação e estrutura;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Instalações elétricas insatisfatório;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
TERRAPLENOS E CONTENÇÕES;;;;
OBRAS DE ARTE ESPECIAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Ondulação/Corrugação;;;
PAVIMENTAÇÃO;Ondulação/Corrugação;;;
PAVIMENTAÇÃO;Material na pista;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Afundamento local;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Amassada;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
SINALIZAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
SINALIZAÇÃO;Amassada;;;
SINALIZAÇÃO;Erosão;;;
TERRAPLENOS E CONTENÇÕES;;;;
SINALIZAÇÃO;Fixação deficiente;;;
SINALIZAÇÃO;Fixação deficiente;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Desgaste;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Afundamento local;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Ausente;;;
SINALIZAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Desgaste;;;
PAVIMENTAÇÃO;Errada;;;
SINALIZAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Buraco;;;
OBRAS DE ARTE ESPECIAIS;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Afundamento local;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Errada;;;
SINALIZAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Amassada;;;
SINALIZAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OPERAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
